site,address,hours,cleaning_frequency,operated_by,
Ashley Falls Comfort Station,"13030 Ashley Falls Drive., 92130",24 hrs.,Daily,City of San Diego,
Adams Avenue Recreation Center,"3491 Adams Ave., 92116",Rec. Center Hours,Daily,City of San Diego,
Allied Gardens Pool,"6707 Glenroy St., 92120",Aquatic Center Hours,Daily,City of San Diego,
Balboa Park - Alcazar Garden Parking Lot Comfort Station,"1363 El Prado, 92101",24 hrs.,2x/day,City of San Diego,
Allied Gardens Recreation Center,"5155 Greenbrier Ave., 92120",Rec. Center Hours,Daily,City of San Diego,
Azalea Recreation Center,"2596 Violet Ave., 92105",Rec. Center Hours,Daily,City of San Diego,
Balboa Park - Casa de Balboa,"1549 El Prado, 92101",Business Hours,2x/day,City of San Diego,
Balboa Park - House of Hospitality,"1549 El Prado, 92101",Business Hours,2x/day,City of San Diego,
Balboa Park - 27th Street and Russ Boulevard Comfort Station,"27th St. & Russ Blvd., 92102",24 hrs.,2x/day,City of San Diego,
Balboa Park - 28th and Beech Comfort Station,"28th Street and Beech Street, 92102",24 hrs.,2x/day,City of San Diego,
Balboa Park - Activity Center,"2145 Park Boulevard, 92101",Rec. Center Hours,2x/day,City of San Diego,
Balboa Park - Bud Kearns Pool,"2229 Morley Field Dr., 92101",Aquatic Center Hours,Daily,City of San Diego,
Balboa Park - Casa del Prado,"1800 El Prado, 92101",Business Hours,2x/day,City of San Diego,
Balboa Park - Grape Street Dog Off Leash Area Comfort Station,"28th Street and Grape Street, 92102",24 hrs.,2x/day,City of San Diego,
Balboa Park - Municipal Gymnasium,"2111 Pan American Plaza, 92101",Rec. Center Hours,2x/day,City of San Diego,
Balboa Park - Spanish Village,"1770 Village Place, 92101",24 hrs.,2x/day,City of San Diego,
Balboa Park - Palisades Building,"2130 Pan American Plaza, 92101",Business Hours,2x/day,City of San Diego,
Balboa Park - Recital Hall,"2130 Pan American Plaza, 92101",During activities/use,2x/day,City of San Diego,
Balboa Park - Sixth Avenue at Nutmeg Comfort Station,"6th Avenue and Nutmeg Street, 92103",24 hrs.,2x/day,City of San Diego,
Black Mountain Multipurpose Center Joint Use,"9353 Oviedo St., 92129",Joint Use Hours,Daily,City of San Diego,
Balboa Park - Sixth Avenue at Thorn Street Comfort Station,"6th Avenue and Thorn Street, 92103",24 hrs.,2x/day,City of San Diego,
