id,site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
966b0c61-9339-494c-af50-5cf46918b57e,Ashley Falls Comfort Station,"13030 Ashley Falls Drive., 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
3b48cd34-da86-4ec2-90b9-c6519f02f833,Adams Avenue Recreation Center,"3491 Adams Ave., 92116",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
947091dc-d582-40c4-8223-a86dbbf04012,Allied Gardens Pool,"6707 Glenroy St., 92120",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
c299657d-a3d2-4057-950f-99a61a41095f,Balboa Park - Alcazar Garden Parking Lot Comfort Station,"1363 El Prado, 92101",,,24 hrs.,2x/day,,,,City of San Diego,,,
1a226216-a503-48ca-873c-39da015d64e0,Allied Gardens Recreation Center,"5155 Greenbrier Ave., 92120",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
407c7e3a-23f8-4462-9d1f-8dd871974cdc,Azalea Recreation Center,"2596 Violet Ave., 92105",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
b063e642-51d0-4ab9-8609-6aed008b3997,Balboa Park - Casa de Balboa,"1549 El Prado, 92101",,,Business Hours,2x/day,,,,City of San Diego,,,
df8d1036-7a8b-49e1-a979-c2ac776218a7,Balboa Park - House of Hospitality,"1549 El Prado, 92101",,,Business Hours,2x/day,,,,City of San Diego,,,
e0d0816d-80fa-406f-9e4f-a002a0fe0e9a,Balboa Park - 27th Street and Russ Boulevard Comfort Station,"27th St. & Russ Blvd., 92102",,,24 hrs.,2x/day,,,,City of San Diego,,,
e0fc0d4b-cba8-4726-9954-43c5a972473c,Balboa Park - 28th and Beech Comfort Station,"28th Street and Beech Street, 92102",,,24 hrs.,2x/day,,,,City of San Diego,,,
f7a506d4-25e4-418f-8f5e-e5a30df39c45,Balboa Park - Activity Center,"2145 Park Boulevard, 92101",,,Rec. Center Hours,2x/day,,,,City of San Diego,,,
32a88cc1-53a5-4fa8-b1c0-6bcaff9ee167,Balboa Park - Bud Kearns Pool,"2229 Morley Field Dr., 92101",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
01033f48-7057-4da4-882a-87ebc9a6e22e,Balboa Park - Casa del Prado,"1800 El Prado, 92101",,,Business Hours,2x/day,,,,City of San Diego,,,
7528043a-d187-417f-ad2c-e73b91052d3a,Balboa Park - Grape Street Dog Off Leash Area Comfort Station,"28th Street and Grape Street, 92102",,,24 hrs.,2x/day,,,,City of San Diego,,,
d9e09a09-0bab-45f9-9ddd-b0118ecb2673,Balboa Park - Municipal Gymnasium,"2111 Pan American Plaza, 92101",,,Rec. Center Hours,2x/day,,,,City of San Diego,,,
9078912e-8d59-49b7-a4c9-a97e6e321884,Balboa Park - Spanish Village,"1770 Village Place, 92101",,,24 hrs.,2x/day,,,,City of San Diego,,,
d5cd38de-3e78-4631-97f3-85799071e23b,Balboa Park - Palisades Building,"2130 Pan American Plaza, 92101",,,Business Hours,2x/day,,,,City of San Diego,,,
856cebdb-4921-4fa3-83e9-ff85d699d17e,Balboa Park - Recital Hall,"2130 Pan American Plaza, 92101",,,During activities/use,2x/day,,,,City of San Diego,,,
f6e69514-343e-4d35-9a68-32de10129f71,Balboa Park - Sixth Avenue at Nutmeg Comfort Station,"6th Avenue and Nutmeg Street, 92103",,,24 hrs.,2x/day,,,,City of San Diego,,,
33eeea74-bbf2-4f3c-8f62-317bb7861a94,Black Mountain Multipurpose Center Joint Use,"9353 Oviedo St., 92129",,,Joint Use Hours,Daily,,,,City of San Diego,,,
5e42c17a-dd53-4ee6-97b0-b54c3ec53941,Balboa Park - Sixth Avenue at Thorn Street Comfort Station,"6th Avenue and Thorn Street, 92103",,,24 hrs.,2x/day,,,,City of San Diego,,,
c6102490-3df0-4b4b-8fd5-14c4ae949e30,Balboa Park - War Memorial Building,"3325 Zoo Drive, 92101",,,Business Hours,2x/day,,,,City of San Diego,,,
5049bdbf-fdde-441d-8a00-c39ce39f8dc9,Balboa Park Golf Clubhouse,"2600 Golf Course Dr., 92102",,,Clubhouse Hours,Daily,,,,City of San Diego,,,
6a93f4f5-1d92-4ee7-ae8e-17ed19e53462,Bay Terraces Comfort Station,"7373 Tooma St., 92139",,,24 hrs.,Daily,,,,City of San Diego,,,
de17cc6a-8477-42ea-a217-7bcf84e1146a,Cadman Recreation Center,"4280 Avati Drive, 92117",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
3bb31747-6791-4d72-bd9d-39018ff2d734,Bay Terraces Community and Senior Center,"7373 Tooma St., 92139",,,Community Ctr Hours,Daily,,,,City of San Diego,,,
1b3af4bf-055a-452e-b9ce-1f48dc08e8c6,Bill Cleator Comfort Station,"4412 Nimitz Blvd., 92107",,,7:00am - Dusk,Daily,,,,City of San Diego,,,
c4e6d4b4-d4b0-4c1f-852b-46d569ebab7a,Canyonside Comfort Station,"12350 Black Mountain Road, 92129",,,7:00am - 8:00pm,Daily,,,,City of San Diego,,,
d5ce77a7-872c-47c5-a15f-10300a0a2158,Canyonside Recreation Center,"12350 Black Mountain Road, 92129",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
332cad7c-11be-419d-9f2e-cbcc8eea4604,Black Mountain/Los Peñasquitos Canyon Park Ranger Station,12005 Black Mountain Rd,,,Ranger Station Hours,Daily,,,,City of San Diego,,,
0f306181-a098-47b7-be5b-17f63be31bf4,Breen Comfort Station,"11103 Polaris Drive, 92126",,,24 hrs.,Daily,,,,City of San Diego,,,
8b13ef64-f556-4495-bcfd-288a85a8373b,Cabrillo Heights Comfort Station #1,"8308 Hurlbut Street, 92123",,,24 hrs.,Daily,,,,City of San Diego,,,
aeb53721-dcf0-4180-b9da-e308b3b4ddff,Cabrillo Heights Comfort Station #2,"8308 Hurlbut Street, 92123",,,24 hrs.,Daily,,,,City of San Diego,,,
6e6293e1-30c0-4d99-b536-7db7adff6a83,Cabrillo Heights Comfort Station #3,"8308 Hurlbut Street, 92123",,,24 hrs.,Daily,,,,City of San Diego,,,
dff38a8a-95fc-402f-8d30-0ccecf36fdaa,Cherokee Point Comfort Station,"3901 Landis St. , 92105",,,24 hrs.,Daily,,,,City of San Diego,,,
44607a46-9365-4b0a-b762-0d65c04ea1a0,Camino Ruiz Comfort Station,"11498 Camino Ruiz, 92126",,,24 hrs.,Daily,,,,City of San Diego,,,
f04025af-4756-4364-90a2-0587064db253,City Heights Recreation Center,"4380 Landis St., 92105",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
ba1fb271-b41b-4d6a-9534-97dce9978ccd,City Heights Swim Center Pool,"4380 Landis St., 92105",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
7de6c4a3-3791-473f-a291-f721965bcc54,Capehart Dog Off-Leash Area Portable Restroom,"4700 Soledad Mountain Road, 92109",,,24 hrs.,Daily,,,,City of San Diego,,,
60e0a9ba-6789-4928-9946-fd42a0eace80,Clairemont Pool,"3605 Clairemont Dr., 92117",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
af902c11-21e0-46fa-b08f-2f24cc6b1e0a,Carmel Mountain Ranch-Sabre Springs Comfort Station,"10166 Rancho Carmel Dr., 92128",,,24 hrs.,Daily,,,,City of San Diego,,,
b8a49ab0-ca44-4fe2-927d-3e1406283580,Carmel Mountain Recreation Center,"10166 Rancho Carmel Dr., 92128",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
5ff9efb8-cf58-41a9-b3ea-efa580c5b523,Cypress Canyon Comfort Station,"11470 Cypress Canyon Rd., 92131",,,24 hrs.,Daily,,,,City of San Diego,,,
4c851a33-e36e-48ac-bd57-dc4d7cf7eb41,Carmel Valley Comfort Station,"3751 Townsgate Dr., 92130",,,24 hrs.,Daily,,,,City of San Diego,,,
dd3f203d-b97f-48d1-b37b-fb5480c40735,Carmel Valley Pool,"3777 Townsgate Dr., 92130",,,Aquatic Center Hours,Daily,,,,City of San Diego,,,
38caa08e-da2f-464e-b8fb-5faffdf7d42f,Carmel Valley Recreation Center,"3751 Townsgate Dr., 92130",,,Rec. Center Hours,Daily,,,,City of San Diego,,,
