site,address,latitude,longitude,hours,cleaning_frequency,public,content,images,operated_by,author_id,created_at,updated_at
Ashley Falls Comfort Station,"13030 Ashley Falls Drive., 92130",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Adams Avenue Recreation Center,"3491 Adams Ave., 92116",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Allied Gardens Pool,"6707 Glenroy St., 92120",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Alcazar Garden Parking Lot Comfort Station,"1363 El Prado, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Allied Gardens Recreation Center,"5155 Greenbrier Ave., 92120",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Azalea Recreation Center,"2596 Violet Ave., 92105",0,0,Rec. Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Casa de Balboa,"1549 El Prado, 92101",0,0,Business Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - House of Hospitality,"1549 El Prado, 92101",0,0,Business Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - 27th Street and Russ Boulevard Comfort Station,"27th St. & Russ Blvd., 92102",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - 28th and Beech Comfort Station,"28th Street and Beech Street, 92102",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Activity Center,"2145 Park Boulevard, 92101",0,0,Rec. Center Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Bud Kearns Pool,"2229 Morley Field Dr., 92101",0,0,Aquatic Center Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Casa del Prado,"1800 El Prado, 92101",0,0,Business Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Grape Street Dog Off Leash Area Comfort Station,"28th Street and Grape Street, 92102",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Municipal Gymnasium,"2111 Pan American Plaza, 92101",0,0,Rec. Center Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Spanish Village,"1770 Village Place, 92101",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Palisades Building,"2130 Pan American Plaza, 92101",0,0,Business Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Recital Hall,"2130 Pan American Plaza, 92101",0,0,During activities/use,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Sixth Avenue at Nutmeg Comfort Station,"6th Avenue and Nutmeg Street, 92103",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Black Mountain Multipurpose Center Joint Use,"9353 Oviedo St., 92129",0,0,Joint Use Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - Sixth Avenue at Thorn Street Comfort Station,"6th Avenue and Thorn Street, 92103",0,0,24 hrs.,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park - War Memorial Building,"3325 Zoo Drive, 92101",0,0,Business Hours,2x/day,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Balboa Park Golf Clubhouse,"2600 Golf Course Dr., 92102",0,0,Clubhouse Hours,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
Bay Terraces Comfort Station,"7373 Tooma St., 92139",0,0,24 hrs.,Daily,True,Unknown,[],City of San Diego,Unknown,1703891400.79689,1703891400.79689
